moduleId,tDiff,tSync,timeOffsetL,timeOffsetR,effectiveSpeed,pedestalL,pedestalR,energyGainL,energyGainR,lightAtt,PMTSatL,PMTSatR,PMTThresL,PMTThresR
777,-6.66135,-60.0858,63.4164,56.7551,-7.99308,15,16,15.6785,15.887,338.529,0.0274373,0.0278023,1.23963,1.24719
778,-6.90037,-59.2594,62.7095,55.8092,-7.99753,18,14,16.0011,16.1849,326.706,0.0280019,0.0283235,1.03001,1.21398
779,-126.401,-1.09942,64.2998,-62.101,-8.01099,20,15,16.1446,17.9685,293.473,0.028253,0.0314448,1.0893,1.04044
780,-126.083,-1.2915,64.3328,-61.7498,-8.01306,19,16,14.9442,15.9372,353.259,0.0261524,0.0278901,1.08578,1.25805
781,-5.48178,60.4939,-57.753,-63.2348,-7.98881,15,15,15.9161,16.8706,322.124,0.0278532,0.0295235,1.1733,1.16785
782,-4.0419,61.6273,-59.6064,-63.6483,-7.89452,19,15,17.1361,16.1932,296.54,0.0299881,0.0283381,1.07788,1.1805
783,-7.72793,59.6591,-55.7952,-63.5231,-7.98354,14,15,17.4772,16.6144,336.655,0.030585,0.0290751,1.17555,1.27317
784,-2.70697,59.6283,-58.2748,-60.9818,-8.05907,15,15,16.3847,16.3526,312.988,0.0286732,0.028617,1.1253,1.13011
785,-5.75685,60.2671,-57.3887,-63.1456,-7.98266,16,16,16.7677,17.1595,293.543,0.0293435,0.0300291,1.13608,1.1087
786,-5.98291,60.0219,-57.0305,-63.0134,-7.9608,16,17,18.0774,17.4892,296.241,0.0316354,0.0306062,1.09957,1.10628
787,-6.23091,59.8876,-56.7721,-63.003,-7.95984,17,18,15.9904,15.3468,319.48,0.0279832,0.0268569,1.31746,1.23323
788,-4.97537,61.0214,-58.5338,-63.5091,-8.10093,14,14,17.5126,16.7721,301.526,0.030647,0.0293512,1.06556,1.05756
789,-7.37148,58.9493,-55.2635,-62.635,-8.05228,17,14,14.6001,15.3164,366.013,0.0255502,0.0268038,1.30545,1.42958
790,-7.57648,59.2334,-55.4451,-63.0216,-8.00695,21,14,16.8487,16.9449,295.239,0.0294853,0.0296536,0.998787,1.01185
791,-5.84613,59.6746,-56.7515,-62.5977,-8.04007,20,15,16.2262,16.6205,306.006,0.0283958,0.0290858,1.03231,1.03635
792,-3.73771,60.2462,-58.3774,-62.1151,-7.98909,16,14,16.1458,15.6395,316.126,0.0282551,0.0273691,1.12434,1.23526
793,-4.14024,59.7257,-57.6556,-61.7958,-7.97708,15,15,17.0215,16.5758,314.094,0.0297876,0.0290076,1.09634,1.17272
794,-7.96691,58.6398,-54.6563,-62.6232,-8.09403,15,18,15.1573,15.3892,351.292,0.0265252,0.0269312,1.17554,1.14655
795,-3.97866,59.3474,-57.3581,-61.3367,-8.03416,19,19,17.2501,16.9579,283.257,0.0301878,0.0296763,1.01357,1.00222
796,-4.51601,59.4582,-57.2001,-61.7162,-8.01794,14,14,17.6594,16.6882,317.273,0.030904,0.0292044,1.19559,1.24094
797,-5.05217,59.5377,-57.0117,-62.0638,-8.05699,17,17,18.1754,17.4311,293.438,0.031807,0.0305044,1.09725,1.13672
798,-5.02268,60.5642,-58.0529,-63.0756,-8.0567,13,15,17.4086,17.029,290.253,0.030465,0.0298007,1.18338,1.19446
799,-5.90912,59.3592,-56.4047,-62.3138,-8.05991,19,15,18.5169,19.6688,260.239,0.0324046,0.0344203,1.15063,1.21178
